Fr[0][0] = 0.007813 ,Fi[0][0] = 0.007813
Fr[13][20] = 0.136719 ,Fi[13][20] = 0.136719
Fr[13][21] = 0.140625 ,Fi[13][21] = 0.140625
Fr[13][22] = 0.144531 ,Fi[13][22] = 0.144531
Fr[13][23] = 0.148438 ,Fi[13][23] = 0.148438
Fr[13][24] = 0.152344 ,Fi[13][24] = 0.152344
Fr[13][25] = 0.156250 ,Fi[13][25] = 0.156250
Fr[13][26] = 0.160156 ,Fi[13][26] = 0.160156
Fr[13][27] = 0.164063 ,Fi[13][27] = 0.164063
Fr[13][28] = 0.167969 ,Fi[13][28] = 0.167969
Fr[13][29] = 0.171875 ,Fi[13][29] = 0.171875
Fr[13][30] = 0.175781 ,Fi[13][30] = 0.175781
Fr[13][31] = 0.179688 ,Fi[13][31] = 0.179688
Fr[14][0] = 0.062500 ,Fi[14][0] = 0.062500
Fr[14][1] = 0.066406 ,Fi[14][1] = 0.066406
Fr[14][2] = 0.070313 ,Fi[14][2] = 0.070313
Fr[14][3] = 0.074219 ,Fi[14][3] = 0.074219
Fr[14][4] = 0.078125 ,Fi[14][4] = 0.078125
Fr[14][5] = 0.082031 ,Fi[14][5] = 0.082031
Fr[14][6] = 0.085938 ,Fi[14][6] = 0.085938
Fr[14][7] = 0.089844 ,Fi[14][7] = 0.089844
Fr[14][8] = 0.093750 ,Fi[14][8] = 0.093750
Fr[14][9] = 0.097656 ,Fi[14][9] = 0.097656
Fr[14][10] = 0.101563 ,Fi[14][10] = 0.101563
Fr[14][11] = 0.105469 ,Fi[14][11] = 0.105469
Fr[14][12] = 0.109375 ,Fi[14][12] = 0.109375
Fr[14][13] = 0.113281 ,Fi[14][13] = 0.113281
Fr[14][14] = 0.117188 ,Fi[14][14] = 0.117188
Fr[14][15] = 0.121094 ,Fi[14][15] = 0.121094
Fr[14][16] = 0.125000 ,Fi[14][16] = 0.125000
Fr[14][17] = 0.128906 ,Fi[14][17] = 0.128906
Fr[14][18] = 0.132813 ,Fi[14][18] = 0.132813
Fr[14][19] = 0.136719 ,Fi[14][19] = 0.136719
Fr[14][20] = 0.140625 ,Fi[14][20] = 0.140625
Fr[14][21] = 0.144531 ,Fi[14][21] = 0.144531
Fr[14][22] = 0.148438 ,Fi[14][22] = 0.148438
Fr[14][23] = 0.152344 ,Fi[14][23] = 0.152344
Fr[14][24] = 0.156250 ,Fi[14][24] = 0.156250
Fr[14][25] = 0.160156 ,Fi[14][25] = 0.160156
Fr[14][26] = 0.164063 ,Fi[14][26] = 0.164063
Fr[14][27] = 0.167969 ,Fi[14][27] = 0.167969
Fr[14][28] = 0.171875 ,Fi[14][28] = 0.171875
Fr[14][29] = 0.175781 ,Fi[14][29] = 0.175781
Fr[14][30] = 0.179688 ,Fi[14][30] = 0.179688
Fr[14][31] = 0.183594 ,Fi[14][31] = 0.183594
Fr[15][0] = 0.066406 ,Fi[15][0] = 0.066406
Fr[15][1] = 0.070313 ,Fi[15][1] = 0.070313
Fr[15][2] = 0.074219 ,Fi[15][2] = 0.074219
Fr[15][3] = 0.078125 ,Fi[15][3] = 0.078125
Fr[15][4] = 0.082031 ,Fi[15][4] = 0.082031
Fr[15][5] = 0.085938 ,Fi[15][5] = 0.085938
Fr[15][6] = 0.089844 ,Fi[15][6] = 0.089844
Fr[15][7] = 0.093750 ,Fi[15][7] = 0.093750
Fr[15][8] = 0.097656 ,Fi[15][8] = 0.097656
Fr[15][9] = 0.101563 ,Fi[15][9] = 0.101563
Fr[15][10] = 0.105469 ,Fi[15][10] = 0.105469
Fr[15][11] = 0.109375 ,Fi[15][11] = 0.109375
Fr[15][12] = 0.113281 ,Fi[15][12] = 0.113281
Fr[15][13] = 0.117188 ,Fi[15][13] = 0.117188
Fr[15][14] = 0.121094 ,Fi[15][14] = 0.121094
Fr[15][15] = 0.125000 ,Fi[15][15] = 0.125000
Fr[15][16] = 0.128906 ,Fi[15][16] = 0.128906
Fr[15][17] = 0.132813 ,Fi[15][17] = 0.132813
Fr[15][18] = 0.136719 ,Fi[15][18] = 0.136719
Fr[15][19] = 0.140625 ,Fi[15][19] = 0.140625
Fr[15][20] = 0.144531 ,Fi[15][20] = 0.144531
Fr[15][21] = 0.148438 ,Fi[15][21] = 0.148438
Fr[15][22] = 0.152344 ,Fi[15][22] = 0.152344
Fr[15][23] = 0.156250 ,Fi[15][23] = 0.156250
Fr[15][24] = 0.160156 ,Fi[15][24] = 0.160156
Fr[15][25] = 0.164063 ,Fi[15][25] = 0.164063
Fr[15][26] = 0.167969 ,Fi[15][26] = 0.167969
Fr[15][27] = 0.171875 ,Fi[15][27] = 0.171875
Fr[15][28] = 0.175781 ,Fi[15][28] = 0.175781
Fr[15][29] = 0.179688 ,Fi[15][29] = 0.179688
Fr[15][30] = 0.183594 ,Fi[15][30] = 0.183594
Fr[15][31] = 0.187500 ,Fi[15][31] = 0.187500
Fr[16][0] = 0.070313 ,Fi[16][0] = 0.070313
Fr[16][1] = 0.074219 ,Fi[16][1] = 0.074219
Fr[16][2] = 0.078125 ,Fi[16][2] = 0.078125
Fr[16][3] = 0.082031 ,Fi[16][3] = 0.082031
Fr[16][4] = 0.085938 ,Fi[16][4] = 0.085938
Fr[16][5] = 0.089844 ,Fi[16][5] = 0.089844
Fr[16][6] = 0.093750 ,Fi[16][6] = 0.093750
Fr[16][7] = 0.097656 ,Fi[16][7] = 0.097656
Fr[16][8] = 0.101563 ,Fi[16][8] = 0.101563
Fr[16][9] = 0.105469 ,Fi[16][9] = 0.105469
Fr[16][10] = 0.109375 ,Fi[16][10] = 0.109375
Fr[16][11] = 0.113281 ,Fi[16][11] = 0.113281
Fr[16][12] = 0.117188 ,Fi[16][12] = 0.117188
Fr[16][13] = 0.121094 ,Fi[16][13] = 0.121094
Fr[16][14] = 0.125000 ,Fi[16][14] = 0.125000
Fr[16][15] = 0.128906 ,Fi[16][15] = 0.128906
Fr[16][16] = 0.132813 ,Fi[16][16] = 0.132813
Fr[16][17] = 0.136719 ,Fi[16][17] = 0.136719
Fr[16][18] = 0.140625 ,Fi[16][18] = 0.140625
Fr[16][19] = 0.144531 ,Fi[16][19] = 0.144531
Fr[16][20] = 0.148438 ,Fi[16][20] = 0.148438
Fr[16][21] = 0.152344 ,Fi[16][21] = 0.152344
Fr[16][22] = 0.156250 ,Fi[16][22] = 0.156250
Fr[16][23] = 0.160156 ,Fi[16][23] = 0.160156
Fr[16][24] = 0.164063 ,Fi[16][24] = 0.164063
Fr[16][25] = 0.167969 ,Fi[16][25] = 0.167969
Fr[16][26] = 0.171875 ,Fi[16][26] = 0.171875
Fr[16][27] = 0.175781 ,Fi[16][27] = 0.175781
Fr[16][28] = 0.179688 ,Fi[16][28] = 0.179688
Fr[16][29] = 0.183594 ,Fi[16][29] = 0.183594
Fr[16][30] = 0.187500 ,Fi[16][30] = 0.187500
Fr[16][31] = 0.191406 ,Fi[16][31] = 0.191406
Fr[17][0] = 0.074219 ,Fi[17][0] = 0.074219
Fr[17][1] = 0.078125 ,Fi[17][1] = 0.078125
Fr[17][2] = 0.082031 ,Fi[17][2] = 0.082031
Fr[17][3] = 0.085938 ,Fi[17][3] = 0.085938
Fr[17][4] = 0.089844 ,Fi[17][4] = 0.089844
Fr[17][5] = 0.093750 ,Fi[17][5] = 0.093750
Fr[17][6] = 0.097656 ,Fi[17][6] = 0.097656
Fr[17][7] = 0.101563 ,Fi[17][7] = 0.101563
Fr[17][8] = 0.105469 ,Fi[17][8] = 0.105469
Fr[17][9] = 0.109375 ,Fi[17][9] = 0.109375
Fr[17][10] = 0.113281 ,Fi[17][10] = 0.113281
Fr[17][11] = 0.117188 ,Fi[17][11] = 0.117188
Fr[17][12] = 0.121094 ,Fi[17][12] = 0.121094
Fr[17][13] = 0.125000 ,Fi[17][13] = 0.125000
Fr[17][14] = 0.128906 ,Fi[17][14] = 0.128906
Fr[17][15] = 0.132813 ,Fi[17][15] = 0.132813
Fr[17][16] = 0.136719 ,Fi[17][16] = 0.136719
Fr[17][17] = 0.140625 ,Fi[17][17] = 0.140625
Fr[17][18] = 0.144531 ,Fi[17][18] = 0.144531
Fr[17][19] = 0.148438 ,Fi[17][19] = 0.148438
Fr[17][20] = 0.152344 ,Fi[17][20] = 0.152344
Fr[17][21] = 0.156250 ,Fi[17][21] = 0.156250
Fr[17][22] = 0.160156 ,Fi[17][22] = 0.160156
Fr[17][23] = 0.164063 ,Fi[17][23] = 0.164063
Fr[17][24] = 0.167969 ,Fi[17][24] = 0.167969
Fr[17][25] = 0.171875 ,Fi[17][25] = 0.171875
Fr[17][26] = 0.175781 ,Fi[17][26] = 0.175781
Fr[17][27] = 0.179688 ,Fi[17][27] = 0.179688
Fr[17][28] = 0.183594 ,Fi[17][28] = 0.183594
Fr[17][29] = 0.187500 ,Fi[17][29] = 0.187500
Fr[17][30] = 0.191406 ,Fi[17][30] = 0.191406
Fr[17][31] = 0.195313 ,Fi[17][31] = 0.195313
Fr[18][0] = 0.078125 ,Fi[18][0] = 0.078125
Fr[18][1] = 0.082031 ,Fi[18][1] = 0.082031
Fr[18][2] = 0.085938 ,Fi[18][2] = 0.085938
Fr[18][3] = 0.089844 ,Fi[18][3] = 0.089844
Fr[18][4] = 0.093750 ,Fi[18][4] = 0.093750
Fr[18][5] = 0.097656 ,Fi[18][5] = 0.097656
Fr[18][6] = 0.101563 ,Fi[18][6] = 0.101563
Fr[18][7] = 0.105469 ,Fi[18][7] = 0.105469
Fr[18][8] = 0.109375 ,Fi[18][8] = 0.109375
Fr[18][9] = 0.113281 ,Fi[18][9] = 0.113281
Fr[18][10] = 0.117188 ,Fi[18][10] = 0.117188
Fr[18][11] = 0.121094 ,Fi[18][11] = 0.121094
Fr[18][12] = 0.125000 ,Fi[18][12] = 0.125000
Fr[18][13] = 0.128906 ,Fi[18][13] = 0.128906
Fr[18][14] = 0.132813 ,Fi[18][14] = 0.132813
Fr[18][15] = 0.136719 ,Fi[18][15] = 0.136719
Fr[18][16] = 0.140625 ,Fi[18][16] = 0.140625
Fr[18][17] = 0.144531 ,Fi[18][17] = 0.144531
Fr[18][18] = 0.148438 ,Fi[18][18] = 0.148438
Fr[18][19] = 0.152344 ,Fi[18][19] = 0.152344
Fr[18][20] = 0.156250 ,Fi[18][20] = 0.156250
Fr[18][21] = 0.160156 ,Fi[18][21] = 0.160156
Fr[18][22] = 0.164063 ,Fi[18][22] = 0.164063
Fr[18][23] = 0.167969 ,Fi[18][23] = 0.167969
Fr[18][24] = 0.171875 ,Fi[18][24] = 0.171875
Fr[18][25] = 0.175781 ,Fi[18][25] = 0.175781
Fr[18][26] = 0.179688 ,Fi[18][26] = 0.179688
Fr[18][27] = 0.183594 ,Fi[18][27] = 0.183594
Fr[18][28] = 0.187500 ,Fi[18][28] = 0.187500
Fr[18][29] = 0.191406 ,Fi[18][29] = 0.191406
Fr[18][30] = 0.195313 ,Fi[18][30] = 0.195313
Fr[18][31] = 0.199219 ,Fi[18][31] = 0.199219
Fr[19][0] = 0.082031 ,Fi[19][0] = 0.082031
Fr[19][1] = 0.085938 ,Fi[19][1] = 0.085938
Fr[19][2] = 0.089844 ,Fi[19][2] = 0.089844
Fr[19][3] = 0.093750 ,Fi[19][3] = 0.093750
Fr[19][4] = 0.097656 ,Fi[19][4] = 0.097656
Fr[19][5] = 0.101563 ,Fi[19][5] = 0.101563
Fr[19][6] = 0.105469 ,Fi[19][6] = 0.105469
Fr[19][7] = 0.109375 ,Fi[19][7] = 0.109375
Fr[19][8] = 0.113281 ,Fi[19][8] = 0.113281
Fr[19][9] = 0.117188 ,Fi[19][9] = 0.117188
Fr[19][10] = 0.121094 ,Fi[19][10] = 0.121094
Fr[19][11] = 0.125000 ,Fi[19][11] = 0.125000
Fr[19][12] = 0.128906 ,Fi[19][12] = 0.128906
Fr[19][13] = 0.132813 ,Fi[19][13] = 0.132813
Fr[19][14] = 0.136719 ,Fi[19][14] = 0.136719
Fr[19][15] = 0.140625 ,Fi[19][15] = 0.140625
Fr[19][16] = 0.144531 ,Fi[19][16] = 0.144531
Fr[19][17] = 0.148438 ,Fi[19][17] = 0.148438
Fr[19][18] = 0.152344 ,Fi[19][18] = 0.152344
Fr[19][19] = 0.156250 ,Fi[19][19] = 0.156250
Fr[19][20] = 0.160156 ,Fi[19][20] = 0.160156
Fr[19][21] = 0.164063 ,Fi[19][21] = 0.164063
Fr[19][22] = 0.167969 ,Fi[19][22] = 0.167969
Fr[19][23] = 0.171875 ,Fi[19][23] = 0.171875
Fr[19][24] = 0.175781 ,Fi[19][24] = 0.175781
Fr[19][25] = 0.179688 ,Fi[19][25] = 0.179688
Fr[19][26] = 0.183594 ,Fi[19][26] = 0.183594
Fr[19][27] = 0.187500 ,Fi[19][27] = 0.187500
Fr[19][28] = 0.191406 ,Fi[19][28] = 0.191406
Fr[19][29] = 0.195313 ,Fi[19][29] = 0.195313
Fr[19][30] = 0.199219 ,Fi[19][30] = 0.199219
Fr[19][31] = 0.203125 ,Fi[19][31] = 0.203125
Fr[20][0] = 0.085938 ,Fi[20][0] = 0.085938
Fr[20][1] = 0.089844 ,Fi[20][1] = 0.089844
Fr[20][2] = 0.093750 ,Fi[20][2] = 0.093750
Fr[20][3] = 0.097656 ,Fi[20][3] = 0.097656
Fr[20][4] = 0.101563 ,Fi[20][4] = 0.101563
Fr[20][5] = 0.105469 ,Fi[20][5] = 0.105469
Fr[20][6] = 0.109375 ,Fi[20][6] = 0.109375
Fr[20][7] = 0.113281 ,Fi[20][7] = 0.113281
Fr[20][8] = 0.117188 ,Fi[20][8] = 0.117188
Fr[20][9] = 0.121094 ,Fi[20][9] = 0.121094
Fr[20][10] = 0.125000 ,Fi[20][10] = 0.125000
Fr[20][11] = 0.128906 ,Fi[20][11] = 0.128906
Fr[20][12] = 0.132813 ,Fi[20][12] = 0.132813
Fr[20][13] = 0.136719 ,Fi[20][13] = 0.136719
Fr[20][14] = 0.140625 ,Fi[20][14] = 0.140625
Fr[20][15] = 0.144531 ,Fi[20][15] = 0.144531
Fr[20][16] = 0.148438 ,Fi[20][16] = 0.148438
Fr[20][17] = 0.152344 ,Fi[20][17] = 0.152344
Fr[20][18] = 0.156250 ,Fi[20][18] = 0.156250
Fr[20][19] = 0.160156 ,Fi[20][19] = 0.160156
Fr[20][20] = 0.164063 ,Fi[20][20] = 0.164063
Fr[20][21] = 0.167969 ,Fi[20][21] = 0.167969
Fr[20][22] = 0.171875 ,Fi[20][22] = 0.171875
Fr[20][23] = 0.175781 ,Fi[20][23] = 0.175781
Fr[20][24] = 0.179688 ,Fi[20][24] = 0.179688
Fr[20][25] = 0.183594 ,Fi[20][25] = 0.183594
Fr[20][26] = 0.187500 ,Fi[20][26] = 0.187500
Fr[20][27] = 0.191406 ,Fi[20][27] = 0.191406
Fr[20][28] = 0.195313 ,Fi[20][28] = 0.195313
Fr[20][29] = 0.199219 ,Fi[20][29] = 0.199219
Fr[20][30] = 0.203125 ,Fi[20][30] = 0.203125
Fr[20][31] = 0.207031 ,Fi[20][31] = 0.207031
Fr[21][0] = 0.089844 ,Fi[21][0] = 0.089844
Fr[21][1] = 0.093750 ,Fi[21][1] = 0.093750
Fr[21][2] = 0.097656 ,Fi[21][2] = 0.097656
Fr[21][3] = 0.101563 ,Fi[21][3] = 0.101563
Fr[21][4] = 0.105469 ,Fi[21][4] = 0.105469
Fr[21][5] = 0.109375 ,Fi[21][5] = 0.109375
Fr[21][6] = 0.113281 ,Fi[21][6] = 0.113281
Fr[21][7] = 0.117188 ,Fi[21][7] = 0.117188
Fr[21][8] = 0.121094 ,Fi[21][8] = 0.121094
Fr[21][9] = 0.125000 ,Fi[21][9] = 0.125000
Fr[21][10] = 0.128906 ,Fi[21][10] = 0.128906
Fr[21][11] = 0.132813 ,Fi[21][11] = 0.132813
Fr[21][12] = 0.136719 ,Fi[21][12] = 0.136719
Fr[21][13] = 0.140625 ,Fi[21][13] = 0.140625
Fr[21][14] = 0.144531 ,Fi[21][14] = 0.144531
Fr[21][15] = 0.148438 ,Fi[21][15] = 0.148438
Fr[21][16] = 0.152344 ,Fi[21][16] = 0.152344
Fr[21][17] = 0.156250 ,Fi[21][17] = 0.156250
Fr[21][18] = 0.160156 ,Fi[21][18] = 0.160156
Fr[21][19] = 0.164063 ,Fi[21][19] = 0.164063
Fr[21][20] = 0.167969 ,Fi[21][20] = 0.167969
Fr[21][21] = 0.171875 ,Fi[21][21] = 0.171875
Fr[21][22] = 0.175781 ,Fi[21][22] = 0.175781
Fr[21][23] = 0.179688 ,Fi[21][23] = 0.179688
Fr[21][24] = 0.183594 ,Fi[21][24] = 0.183594
Fr[21][25] = 0.187500 ,Fi[21][25] = 0.187500
Fr[21][26] = 0.191406 ,Fi[21][26] = 0.191406
Fr[21][27] = 0.195313 ,Fi[21][27] = 0.195313
Fr[21][28] = 0.199219 ,Fi[21][28] = 0.199219
Fr[21][29] = 0.203125 ,Fi[21][29] = 0.203125
Fr[21][30] = 0.207031 ,Fi[21][30] = 0.207031
Fr[21][31] = 0.210938 ,Fi[21][31] = 0.210938
Fr[22][0] = 0.093750 ,Fi[22][0] = 0.093750
Fr[22][1] = 0.097656 ,Fi[22][1] = 0.097656
Fr[22][2] = 0.101563 ,Fi[22][2] = 0.101563
Fr[22][3] = 0.105469 ,Fi[22][3] = 0.105469
Fr[22][4] = 0.109375 ,Fi[22][4] = 0.109375
Fr[22][5] = 0.113281 ,Fi[22][5] = 0.113281
Fr[22][6] = 0.117188 ,Fi[22][6] = 0.117188
Fr[22][7] = 0.121094 ,Fi[22][7] = 0.121094
Fr[22][8] = 0.125000 ,Fi[22][8] = 0.125000
Fr[22][9] = 0.128906 ,Fi[22][9] = 0.128906
Fr[22][10] = 0.132813 ,Fi[22][10] = 0.132813
Fr[22][11] = 0.136719 ,Fi[22][11] = 0.136719
Fr[22][12] = 0.140625 ,Fi[22][12] = 0.140625
Fr[22][13] = 0.144531 ,Fi[22][13] = 0.144531
Fr[22][14] = 0.148438 ,Fi[22][14] = 0.148438
Fr[22][15] = 0.152344 ,Fi[22][15] = 0.152344
Fr[22][16] = 0.156250 ,Fi[22][16] = 0.156250
Fr[22][17] = 0.160156 ,Fi[22][17] = 0.160156
Fr[22][18] = 0.164063 ,Fi[22][18] = 0.164063
Fr[22][19] = 0.167969 ,Fi[22][19] = 0.167969
Fr[22][20] = 0.171875 ,Fi[22][20] = 0.171875
Fr[22][21] = 0.175781 ,Fi[22][21] = 0.175781
Fr[22][22] = 0.179688 ,Fi[22][22] = 0.179688
Fr[22][23] = 0.183594 ,Fi[22][23] = 0.183594
Fr[22][24] = 0.187500 ,Fi[22][24] = 0.187500
Fr[22][25] = 0.191406 ,Fi[22][25] = 0.191406
Fr[22][26] = 0.195313 ,Fi[22][26] = 0.195313
Fr[22][27] = 0.199219 ,Fi[22][27] = 0.199219
Fr[22][28] = 0.203125 ,Fi[22][28] = 0.203125
Fr[22][29] = 0.207031 ,Fi[22][29] = 0.207031
Fr[22][30] = 0.210938 ,Fi[22][30] = 0.210938
Fr[22][31] = 0.214844 ,Fi[22][31] = 0.214844
Fr[23][0] = 0.097656 ,Fi[23][0] = 0.097656
Fr[23][1] = 0.101563 ,Fi[23][1] = 0.101563
Fr[23][2] = 0.105469 ,Fi[23][2] = 0.105469
Fr[23][3] = 0.109375 ,Fi[23][3] = 0.109375
Fr[23][4] = 0.113281 ,Fi[23][4] = 0.113281
Fr[23][5] = 0.117188 ,Fi[23][5] = 0.117188
Fr[23][6] = 0.121094 ,Fi[23][6] = 0.121094
Fr[23][7] = 0.125000 ,Fi[23][7] = 0.125000
Fr[23][8] = 0.128906 ,Fi[23][8] = 0.128906
Fr[23][9] = 0.132813 ,Fi[23][9] = 0.132813
Fr[23][10] = 0.136719 ,Fi[23][10] = 0.136719
Fr[23][11] = 0.140625 ,Fi[23][11] = 0.140625
Fr[23][12] = 0.144531 ,Fi[23][12] = 0.144531
Fr[23][13] = 0.148438 ,Fi[23][13] = 0.148438
Fr[23][14] = 0.152344 ,Fi[23][14] = 0.152344
Fr[23][15] = 0.156250 ,Fi[23][15] = 0.156250
Fr[23][16] = 0.160156 ,Fi[23][16] = 0.160156
Fr[23][17] = 0.164063 ,Fi[23][17] = 0.164063
Fr[23][18] = 0.167969 ,Fi[23][18] = 0.167969
Fr[23][19] = 0.171875 ,Fi[23][19] = 0.171875
Fr[23][20] = 0.175781 ,Fi[23][20] = 0.175781
Fr[23][21] = 0.179688 ,Fi[23][21] = 0.179688
Fr[23][22] = 0.183594 ,Fi[23][22] = 0.183594
Fr[23][23] = 0.187500 ,Fi[23][23] = 0.187500
Fr[23][24] = 0.191406 ,Fi[23][24] = 0.191406
Fr[23][25] = 0.195313 ,Fi[23][25] = 0.195313
Fr[23][26] = 0.199219 ,Fi[23][26] = 0.199219
Fr[23][27] = 0.203125 ,Fi[23][27] = 0.203125
Fr[23][28] = 0.207031 ,Fi[23][28] = 0.207031
Fr[23][29] = 0.210938 ,Fi[23][29] = 0.210938
Fr[23][30] = 0.214844 ,Fi[23][30] = 0.214844
Fr[23][31] = 0.218750 ,Fi[23][31] = 0.218750
Fr[24][0] = 0.101563 ,Fi[24][0] = 0.101563
Fr[24][1] = 0.105469 ,Fi[24][1] = 0.105469
Fr[24][2] = 0.109375 ,Fi[24][2] = 0.109375
Fr[24][3] = 0.113281 ,Fi[24][3] = 0.113281
Fr[24][4] = 0.117188 ,Fi[24][4] = 0.117188
Fr[24][5] = 0.121094 ,Fi[24][5] = 0.121094
Fr[24][6] = 0.125000 ,Fi[24][6] = 0.125000
Fr[24][7] = 0.128906 ,Fi[24][7] = 0.128906
Fr[24][8] = 0.132813 ,Fi[24][8] = 0.132813
Fr[24][9] = 0.136719 ,Fi[24][9] = 0.136719
Fr[24][10] = 0.140625 ,Fi[24][10] = 0.140625
Fr[24][11] = 0.144531 ,Fi[24][11] = 0.144531
Fr[24][12] = 0.148438 ,Fi[24][12] = 0.148438
Fr[24][13] = 0.152344 ,Fi[24][13] = 0.152344
Fr[24][14] = 0.156250 ,Fi[24][14] = 0.156250
Fr[24][15] = 0.160156 ,Fi[24][15] = 0.160156
Fr[24][16] = 0.164063 ,Fi[24][16] = 0.164063
Fr[24][17] = 0.167969 ,Fi[24][17] = 0.167969
Fr[24][18] = 0.171875 ,Fi[24][18] = 0.171875
Fr[24][19] = 0.175781 ,Fi[24][19] = 0.175781
Fr[24][20] = 0.179688 ,Fi[24][20] = 0.179688
Fr[24][21] = 0.183594 ,Fi[24][21] = 0.183594
Fr[24][22] = 0.187500 ,Fi[24][22] = 0.187500
Fr[24][23] = 0.191406 ,Fi[24][23] = 0.191406
Fr[24][24] = 0.195313 ,Fi[24][24] = 0.195313
Fr[24][25] = 0.199219 ,Fi[24][25] = 0.199219
Fr[24][26] = 0.203125 ,Fi[24][26] = 0.203125
Fr[24][27] = 0.207031 ,Fi[24][27] = 0.207031
Fr[24][28] = 0.210938 ,Fi[24][28] = 0.210938
Fr[24][29] = 0.214844 ,Fi[24][29] = 0.214844
Fr[24][30] = 0.218750 ,Fi[24][30] = 0.218750
Fr[24][31] = 0.222656 ,Fi[24][31] = 0.222656
Fr[25][0] = 0.105469 ,Fi[25][0] = 0.105469
Fr[25][1] = 0.109375 ,Fi[25][1] = 0.109375
Fr[25][2] = 0.113281 ,Fi[25][2] = 0.113281
Fr[25][3] = 0.117188 ,Fi[25][3] = 0.117188
Fr[25][4] = 0.121094 ,Fi[25][4] = 0.121094
Fr[25][5] = 0.125000 ,Fi[25][5] = 0.125000
Fr[25][6] = 0.128906 ,Fi[25][6] = 0.128906
Fr[25][7] = 0.132813 ,Fi[25][7] = 0.132813
Fr[25][8] = 0.136719 ,Fi[25][8] = 0.136719
Fr[25][9] = 0.140625 ,Fi[25][9] = 0.140625
Fr[25][10] = 0.144531 ,Fi[25][10] = 0.144531
Fr[25][11] = 0.148438 ,Fi[25][11] = 0.148438
Fr[25][12] = 0.152344 ,Fi[25][12] = 0.152344
Fr[25][13] = 0.156250 ,Fi[25][13] = 0.156250
Fr[25][14] = 0.160156 ,Fi[25][14] = 0.160156
Fr[25][15] = 0.164063 ,Fi[25][15] = 0.164063
Fr[25][16] = 0.167969 ,Fi[25][16] = 0.167969
Fr[25][17] = 0.171875 ,Fi[25][17] = 0.171875
Fr[25][18] = 0.175781 ,Fi[25][18] = 0.175781
Fr[25][19] = 0.179688 ,Fi[25][19] = 0.179688
Fr[25][20] = 0.183594 ,Fi[25][20] = 0.183594
Fr[25][21] = 0.187500 ,Fi[25][21] = 0.187500
Fr[25][22] = 0.191406 ,Fi[25][22] = 0.191406
Fr[25][23] = 0.195313 ,Fi[25][23] = 0.195313
Fr[25][24] = 0.199219 ,Fi[25][24] = 0.199219
Fr[25][25] = 0.203125 ,Fi[25][25] = 0.203125
Fr[25][26] = 0.207031 ,Fi[25][26] = 0.207031
Fr[25][27] = 0.210938 ,Fi[25][27] = 0.210938
Fr[25][28] = 0.214844 ,Fi[25][28] = 0.214844
Fr[25][29] = 0.218750 ,Fi[25][29] = 0.218750
Fr[25][30] = 0.222656 ,Fi[25][30] = 0.222656
Fr[25][31] = 0.226563 ,Fi[25][31] = 0.226563
Fr[26][0] = 0.109375 ,Fi[26][0] = 0.109375
Fr[26][1] = 0.113281 ,Fi[26][1] = 0.113281
Fr[26][2] = 0.117188 ,Fi[26][2] = 0.117188
Fr[26][3] = 0.121094 ,Fi[26][3] = 0.121094
Fr[26][4] = 0.125000 ,Fi[26][4] = 0.125000
Fr[26][5] = 0.128906 ,Fi[26][5] = 0.128906
Fr[26][6] = 0.132813 ,Fi[26][6] = 0.132813
Fr[26][7] = 0.136719 ,Fi[26][7] = 0.136719
Fr[26][8] = 0.140625 ,Fi[26][8] = 0.140625
Fr[26][9] = 0.144531 ,Fi[26][9] = 0.144531
Fr[26][10] = 0.148438 ,Fi[26][10] = 0.148438
Fr[26][11] = 0.152344 ,Fi[26][11] = 0.152344
Fr[26][12] = 0.156250 ,Fi[26][12] = 0.156250
Fr[26][13] = 0.160156 ,Fi[26][13] = 0.160156
Fr[26][14] = 0.164063 ,Fi[26][14] = 0.164063
Fr[26][15] = 0.167969 ,Fi[26][15] = 0.167969
Fr[26][16] = 0.171875 ,Fi[26][16] = 0.171875
Fr[26][17] = 0.175781 ,Fi[26][17] = 0.175781
Fr[26][18] = 0.179688 ,Fi[26][18] = 0.179688
Fr[26][19] = 0.183594 ,Fi[26][19] = 0.183594
Fr[26][20] = 0.187500 ,Fi[26][20] = 0.187500
Fr[26][21] = 0.191406 ,Fi[26][21] = 0.191406
Fr[26][22] = 0.195313 ,Fi[26][22] = 0.195313
Fr[26][23] = 0.199219 ,Fi[26][23] = 0.199219
Fr[26][24] = 0.203125 ,Fi[26][24] = 0.203125
Fr[26][25] = 0.207031 ,Fi[26][25] = 0.207031
Fr[26][26] = 0.210938 ,Fi[26][26] = 0.210938
Fr[26][27] = 0.214844 ,Fi[26][27] = 0.214844
Fr[26][28] = 0.218750 ,Fi[26][28] = 0.218750
Fr[26][29] = 0.222656 ,Fi[26][29] = 0.222656
Fr[26][30] = 0.226563 ,Fi[26][30] = 0.226563
Fr[26][31] = 0.230469 ,Fi[26][31] = 0.230469
Fr[27][0] = 0.113281 ,Fi[27][0] = 0.113281
Fr[27][1] = 0.117188 ,Fi[27][1] = 0.117188
Fr[27][2] = 0.121094 ,Fi[27][2] = 0.121094
Fr[27][3] = 0.125000 ,Fi[27][3] = 0.125000
Fr[27][4] = 0.128906 ,Fi[27][4] = 0.128906
Fr[27][5] = 0.132813 ,Fi[27][5] = 0.132813
Fr[27][6] = 0.136719 ,Fi[27][6] = 0.136719
Fr[27][7] = 0.140625 ,Fi[27][7] = 0.140625
